"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","2.40211","2.42630","2.43040","2.39973","","-0.91%"
"10/01/2024","2.42424","2.42837","2.43480","2.41189","","0.02%"
"09/01/2024","2.42365","2.43017","2.44544","2.40484","","-0.39%"
"08/01/2024","2.43309","2.43608","2.47305","2.40817","","0.24%"
"07/01/2024","2.42718","2.46609","2.47548","2.39754","","-1.21%"
"06/01/2024","2.45700","2.46006","2.49955","2.44701","","0.25%"
"05/01/2024","2.45098","2.52203","2.55298","2.45285","","-2.58%"
"04/01/2024","2.51579","2.55758","2.61316","2.50263","","-1.26%"
"03/01/2024","2.54777","2.62816","2.68985","2.53531","","-2.55%"
"02/01/2024","2.61445","2.66171","2.67886","2.57538","","-1.73%"
"01/01/2024","2.66049","2.62125","2.68691","2.60737","","1.76%"
"12/01/2023","2.61438","2.75105","2.76250","2.62339","","-4.71%"
"11/01/2023","2.74348","2.75484","2.78067","2.72105","","-0.14%"
"10/01/2023","2.74725","2.70772","2.76110","2.70752","","1.48%"
"09/01/2023","2.70717","2.72150","2.72153","2.70733","","0.00%"
"08/01/2023","2.70720","2.72150","2.72150","2.70735","","-0.01%"
"07/01/2023","2.70750","2.72150","2.72150","2.70735","","0.00%"
"06/01/2023","2.70750","2.72150","2.72150","2.70735","","0.01%"
"05/01/2023","2.70720","2.70875","2.72150","2.70735","","-0.04%"
"04/01/2023","2.70820","2.72150","2.73075","2.70735","","0.03%"
"03/01/2023","2.70750","2.70770","2.72285","2.70735","","0.00%"
"02/01/2023","2.70750","2.70770","2.72150","2.70735","","0.00%"
"01/01/2023","2.70750","2.70875","2.72150","2.70730","","0.00%"
"12/01/2022","2.70750","2.70875","2.72150","2.70730","","0.00%"
"11/01/2022","2.70750","2.72105","2.73520","2.70730","","0.00%"
"10/01/2022","2.70750","2.72360","2.73355","2.70730","","0.00%"
"09/01/2022","2.70750","2.72265","2.73040","2.70715","","0.00%"
"08/01/2022","2.70750","2.73305","2.74540","2.70730","","-0.93%"
"07/01/2022","2.73305","3.38480","3.40160","2.70530","","-19.22%"
"06/01/2022","3.38350","3.40145","3.40160","3.38410","","-0.03%"
"05/01/2022","3.38440","3.40145","3.40160","3.30540","","2.32%"
"04/01/2022","3.30780","3.40145","3.41750","3.30780","","-2.25%"
"03/01/2022","3.38410","3.40145","3.40260","3.32825","","1.68%"
"02/01/2022","3.32825","3.52920","3.59405","3.32260","","-5.48%"
"01/01/2022","3.52110","3.66100","3.66600","3.44270","","-3.82%"
"12/01/2021","3.66100","3.68120","3.72540","3.64565","","-0.42%"
"11/01/2021","3.67650","3.80590","3.83965","3.65970","","-3.20%"
"10/01/2021","3.79800","3.76220","3.82325","3.72420","","1.03%"
"09/01/2021","3.75940","3.71260","3.77745","3.69175","","1.28%"
"08/01/2021","3.71190","3.72645","3.76090","3.70675","","-0.32%"
"07/01/2021","3.72370","3.64550","3.73550","3.64270","","1.66%"
"06/01/2021","3.66290","3.64165","3.71840","3.62720","","0.75%"
"05/01/2021","3.63570","3.60165","3.65300","3.59360","","1.22%"
"04/01/2021","3.59190","3.59580","3.61075","3.55115","","0.12%"
"03/01/2021","3.58750","3.57655","3.62805","3.56315","","0.41%"
"02/01/2021","3.57270","3.55685","3.62840","3.55175","","0.61%"
"01/01/2021","3.55110","3.53735","3.58035","3.50695","","0.74%"
"12/01/2020","3.52490","3.50815","3.61535","3.49870","","0.55%"
"11/01/2020","3.50570","3.50570","3.56315","3.48775","","0.09%"
"10/01/2020","3.50250","3.53360","3.54855","3.50570","","-0.81%"
"09/01/2020","3.53110","3.62815","3.63165","3.52735","","-2.61%"
"08/01/2020","3.62570","3.60685","3.73550","3.58685","","0.61%"
"07/01/2020","3.60360","3.74600","3.74600","3.58335","","-3.75%"
"06/01/2020","3.74390","3.71750","3.76615","3.71750","","0.75%"
"05/01/2020","3.71610","3.70715","3.77540","3.69775","","0.33%"
"04/01/2020","3.70370","3.62025","3.71730","3.58775","","2.45%"
"03/01/2020","3.61520","4.05495","4.06835","3.53420","","-10.76%"
"02/01/2020","4.05100","3.98055","4.10000","3.97850","","1.52%"
"01/01/2020","3.99040","4.22390","4.23190","3.98760","","-5.39%"
"12/01/2019","4.21760","4.17275","4.30610","4.16930","","1.18%"
"11/01/2019","4.16840","4.04815","4.17625","4.01980","","3.44%"
"10/01/2019","4.02980","4.08580","4.09420","3.95905","","-1.79%"
"09/01/2019","4.10340","3.97930","4.16020","3.93840","","3.08%"
"08/01/2019","3.98090","3.95610","4.00120","3.88085","","0.12%"
"07/01/2019","3.97610","3.82115","4.00960","3.80410","","4.04%"
"06/01/2019","3.82180","3.71885","3.82710","3.66735","","2.75%"
"05/01/2019","3.71950","3.77395","3.83320","3.70715","","-1.69%"
"04/01/2019","3.78360","3.66760","3.78895","3.66760","","3.37%"
"03/01/2019","3.66030","3.69755","3.80535","3.65915","","-0.95%"
"02/01/2019","3.69550","3.61965","3.72995","3.61930","","2.25%"
"01/01/2019","3.61430","3.63280","3.63940","3.53350","","0.19%"
"12/01/2018","3.60750","3.54355","3.67480","3.54355","","1.90%"
"11/01/2018","3.54040","3.54735","3.60755","3.51640","","-0.44%"
"10/01/2018","3.55620","3.54170","3.58230","3.52500","","0.57%"
"09/01/2018","3.53610","3.53730","3.56950","3.50630","","-0.03%"
"08/01/2018","3.53730","3.70920","3.71060","3.53545","","-4.92%"
"07/01/2018","3.72020","3.81315","3.82115","3.71955","","-2.05%"
"06/01/2018","3.79790","3.82835","3.84395","3.77360","","-0.83%"
"05/01/2018","3.82950","3.82265","3.83950","3.79795","","0.49%"
"04/01/2018","3.81100","3.80230","3.85840","3.79870","","0.19%"
"03/01/2018","3.80370","3.74880","3.86215","3.74775","","2.05%"
"02/01/2018","3.72720","3.58875","3.77215","3.57895","","3.62%"
"01/01/2018","3.59710","3.58100","3.59905","3.45960","","1.31%"
"12/01/2017","3.55050","3.70095","3.70305","3.55080","","-3.78%"
"11/01/2017","3.69000","3.71885","3.78140","3.67515","","-0.74%"
"10/01/2017","3.71750","3.75585","3.81245","3.71750","","-0.93%"
"09/01/2017","3.75230","3.89180","3.89180","3.75375","","-3.64%"
"08/01/2017","3.89410","3.86925","3.93390","3.85430","","0.51%"
"07/01/2017","3.87450","3.83435","3.87785","3.74910","","1.09%"
"06/01/2017","3.83290","3.80590","3.84800","3.74325","","0.87%"
"05/01/2017","3.79980","3.76225","3.82675","3.73855","","0.90%"
"04/01/2017","3.76580","3.69410","3.76755","3.63315","","2.05%"
"03/01/2017","3.69000","3.67715","3.73970","3.67715","","0.44%"
"02/01/2017","3.67380","3.70030","3.72165","3.60390","","-0.40%"
"01/01/2017","3.68870","3.69010","3.82415","3.58750","","0.33%"